,0
id,int64
summary,int32
space,int32
description,int32
neighborhood_overview,int32
transit,int32
thumbnail_url,int32
medium_url,int32
picture_url,int32
xl_picture_url,int32
host_id,int64
host_since,datetime64[ns]
host_about,int32
host_is_superhost,float64
host_has_profile_pic,float64
host_identity_verified,float64
neighbourhood_group_cleansed,object
is_location_exact,int64
accommodates,int64
bathrooms,float64
bedrooms,float64
beds,float64
price,object
number_of_reviews,int64
review_scores_rating,float64
review_scores_accuracy,float64
review_scores_cleanliness,float64
review_scores_checkin,float64
review_scores_communication,float64
review_scores_location,float64
review_scores_value,float64
requires_license,int64
instant_bookable,int64
require_guest_profile_picture,int64
require_guest_phone_verification,int64
reviews_per_month,float64
bed_type_airbed,uint8
bed_type_couch,uint8
bed_type_futon,uint8
bed_type_pull_out_sofa,uint8
bed_type_real_bed,uint8
cancellation_policy_flexible,uint8
cancellation_policy_moderate,uint8
cancellation_policy_strict,uint8
host_response_time_a_few_days_or_more,uint8
host_response_time_within_a_day,uint8
host_response_time_within_a_few_hours,uint8
host_response_time_within_an_hour,uint8
property_type_apartment,uint8
property_type_bed_and_breakfast,uint8
property_type_boat,uint8
property_type_bungalow,uint8
property_type_cabin,uint8
property_type_camper_rv,uint8
property_type_chalet,uint8
property_type_condominium,uint8
property_type_dorm,uint8
property_type_house,uint8
property_type_loft,uint8
property_type_other,uint8
property_type_tent,uint8
property_type_townhouse,uint8
property_type_treehouse,uint8
property_type_yurt,uint8
room_type_entire_home_apt,uint8
room_type_private_room,uint8
room_type_shared_room,uint8
amenities_tv,int64
amenities_cable_tv,int64
amenities_internet,int64
amenities_wireless_internet,int64
amenities_air_conditioning,int64
amenities_kitchen,int64
amenities_heating,int64
amenities_family_kid_friendly,int64
amenities_washer,int64
amenities_dryer,int64
amenities_free_parking_on_premises,int64
amenities_buzzer_wireless_intercom,int64
amenities_smoke_detector,int64
amenities_carbon_monoxide_detector,int64
amenities_first_aid_kit,int64
amenities_safety_card,int64
amenities_fire_extinguisher,int64
amenities_essentials,int64
amenities_pets_allowed,int64
amenities_pets_live_on_this_property,int64
amenities_dogs,int64
amenities_cats,int64
amenities_hot_tub,int64
amenities_indoor_fireplace,int64
amenities_shampoo,int64
amenities_breakfast,int64
amenities_24_hour_check_in,int64
amenities_hangers,int64
amenities_hair_dryer,int64
amenities_iron,int64
amenities_laptop_friendly_workspace,int64
amenities_suitable_for_events,int64
amenities_elevator_in_building,int64
amenities_lock_on_bedroom_door,int64
amenities_wheelchair_accessible,int64
amenities_gym,int64
amenities_pool,int64
amenities_smoking_allowed,int64
amenities_other_pets,int64
amenities_doorman,int64
amenities_washer_dryer,int64
cleaning_fee,float64
host_acceptance_rate,float64
host_response_rate,float64
extra_people,float64
