,0
0,month
1,summary
2,space
3,neighborhood_overview
4,transit
5,host_is_superhost
6,host_has_profile_pic
7,host_identity_verified
8,is_location_exact
9,bed_type_airbed
10,bed_type_couch
11,bed_type_futon
12,bed_type_pull_out_sofa
13,bed_type_real_bed
14,cancellation_policy_flexible
15,cancellation_policy_moderate
16,cancellation_policy_strict
17,host_response_time_a_few_days_or_more
18,host_response_time_within_a_day
19,host_response_time_within_a_few_hours
20,host_response_time_within_an_hour
21,property_type_apartment
22,property_type_bed_and_breakfast
23,property_type_boat
24,property_type_bungalow
25,property_type_cabin
26,property_type_camper_rv
27,property_type_chalet
28,property_type_condominium
29,property_type_dorm
30,property_type_house
31,property_type_loft
32,property_type_other
33,property_type_tent
34,property_type_townhouse
35,property_type_treehouse
36,property_type_yurt
37,room_type_entire_home_apt
38,room_type_private_room
39,room_type_shared_room
40,amenities_tv
41,amenities_cable_tv
42,amenities_internet
43,amenities_wireless_internet
44,amenities_air_conditioning
45,amenities_kitchen
46,amenities_heating
47,amenities_family_kid_friendly
48,amenities_washer
49,amenities_dryer
50,amenities_free_parking_on_premises
51,amenities_buzzer_wireless_intercom
52,amenities_smoke_detector
53,amenities_carbon_monoxide_detector
54,amenities_first_aid_kit
55,amenities_safety_card
56,amenities_fire_extinguisher
57,amenities_essentials
58,amenities_pets_allowed
59,amenities_pets_live_on_this_property
60,amenities_dogs
61,amenities_cats
62,amenities_hot_tub
63,amenities_indoor_fireplace
64,amenities_shampoo
65,amenities_breakfast
66,amenities_24_hour_check_in
67,amenities_hangers
68,amenities_hair_dryer
69,amenities_iron
70,amenities_laptop_friendly_workspace
71,amenities_suitable_for_events
72,amenities_elevator_in_building
73,amenities_lock_on_bedroom_door
74,amenities_wheelchair_accessible
75,amenities_gym
76,amenities_pool
77,amenities_smoking_allowed
78,amenities_other_pets
79,amenities_doorman
