,0
0,listing_id
1,date
2,month
3,year
4,price
5,summary
6,space
7,neighborhood_overview
8,transit
9,thumbnail_url
10,medium_url
11,xl_picture_url
12,host_id
13,host_since
14,host_about
15,host_is_superhost
16,host_has_profile_pic
17,host_identity_verified
18,neighbourhood_group_cleansed
19,is_location_exact
20,accommodates
21,bathrooms
22,bedrooms
23,beds
24,number_of_reviews
25,review_scores_rating
26,review_scores_accuracy
27,review_scores_cleanliness
28,review_scores_checkin
29,review_scores_communication
30,review_scores_location
31,review_scores_value
32,instant_bookable
33,require_guest_profile_picture
34,require_guest_phone_verification
35,reviews_per_month
36,bed_type_airbed
37,bed_type_couch
38,bed_type_futon
39,bed_type_pull_out_sofa
40,bed_type_real_bed
41,cancellation_policy_flexible
42,cancellation_policy_moderate
43,cancellation_policy_strict
44,host_response_time_a_few_days_or_more
45,host_response_time_within_a_day
46,host_response_time_within_a_few_hours
47,host_response_time_within_an_hour
48,property_type_apartment
49,property_type_bed_and_breakfast
50,property_type_boat
51,property_type_bungalow
52,property_type_cabin
53,property_type_camper_rv
54,property_type_chalet
55,property_type_condominium
56,property_type_dorm
57,property_type_house
58,property_type_loft
59,property_type_other
60,property_type_tent
61,property_type_townhouse
62,property_type_treehouse
63,property_type_yurt
64,room_type_entire_home_apt
65,room_type_private_room
66,room_type_shared_room
67,amenities_tv
68,amenities_cable_tv
69,amenities_internet
70,amenities_wireless_internet
71,amenities_air_conditioning
72,amenities_kitchen
73,amenities_heating
74,amenities_family_kid_friendly
75,amenities_washer
76,amenities_dryer
77,amenities_free_parking_on_premises
78,amenities_buzzer_wireless_intercom
79,amenities_smoke_detector
80,amenities_carbon_monoxide_detector
81,amenities_first_aid_kit
82,amenities_safety_card
83,amenities_fire_extinguisher
84,amenities_essentials
85,amenities_pets_allowed
86,amenities_pets_live_on_this_property
87,amenities_dogs
88,amenities_cats
89,amenities_hot_tub
90,amenities_indoor_fireplace
91,amenities_shampoo
92,amenities_breakfast
93,amenities_24_hour_check_in
94,amenities_hangers
95,amenities_hair_dryer
96,amenities_iron
97,amenities_laptop_friendly_workspace
98,amenities_suitable_for_events
99,amenities_elevator_in_building
100,amenities_lock_on_bedroom_door
101,amenities_wheelchair_accessible
102,amenities_gym
103,amenities_pool
104,amenities_smoking_allowed
105,amenities_other_pets
106,amenities_doorman
107,host_acceptance_rate
108,host_response_rate
