,0
0,id
1,listing_url
2,scrape_id
3,last_scraped
4,name
5,summary
6,space
7,description
8,experiences_offered
9,neighborhood_overview
10,notes
11,transit
12,thumbnail_url
13,medium_url
14,picture_url
15,xl_picture_url
16,host_id
17,host_url
18,host_name
19,host_since
20,host_location
21,host_about
22,host_response_time
23,host_response_rate
24,host_acceptance_rate
25,host_is_superhost
26,host_thumbnail_url
27,host_picture_url
28,host_neighbourhood
29,host_listings_count
30,host_total_listings_count
31,host_verifications
32,host_has_profile_pic
33,host_identity_verified
34,street
35,neighbourhood
36,neighbourhood_cleansed
37,neighbourhood_group_cleansed
38,city
39,state
40,zipcode
41,market
42,smart_location
43,country_code
44,country
45,latitude
46,longitude
47,is_location_exact
48,property_type
49,room_type
50,accommodates
51,bathrooms
52,bedrooms
53,beds
54,bed_type
55,amenities
56,square_feet
57,price
58,weekly_price
59,monthly_price
60,security_deposit
61,cleaning_fee
62,guests_included
63,extra_people
64,minimum_nights
65,maximum_nights
66,calendar_updated
67,has_availability
68,availability_30
69,availability_60
70,availability_90
71,availability_365
72,calendar_last_scraped
73,number_of_reviews
74,first_review
75,last_review
76,review_scores_rating
77,review_scores_accuracy
78,review_scores_cleanliness
79,review_scores_checkin
80,review_scores_communication
81,review_scores_location
82,review_scores_value
83,requires_license
84,license
85,jurisdiction_names
86,instant_bookable
87,cancellation_policy
88,require_guest_profile_picture
89,require_guest_phone_verification
90,calculated_host_listings_count
91,reviews_per_month
